{'date': '1518-03-31 00:00', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-27 00:41', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-27 00:57', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-27 23:52', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-28 00:01', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-28 00:54', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-28 23:58', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-29 00:17', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-29 00:59', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-29 23:56', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-30 00:10', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-30 00:38', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-30 00:52', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-30 00:58', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-01 00:01', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-01 00:10', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-01 00:58', 'guardNumber': 101, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-01 23:57', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-02 00:40', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-02 00:51', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-03 00:00', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-03 00:11', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-03 00:34', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-03 00:39', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-03 00:41', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-03 23:57', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-04 00:07', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-04 00:59', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-05 00:00', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-05 00:33', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-05 00:38', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-05 00:49', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-05 00:59', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-05 23:56', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-06 00:42', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-06 00:56', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-06 23:48', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-07 00:03', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-07 00:17', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-07 00:21', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-07 00:35', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-08 00:00', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-08 00:23', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-08 00:59', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-08 23:59', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-09 00:28', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-09 00:48', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-10 00:01', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-10 00:09', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-10 00:13', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-10 00:42', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-10 00:46', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-10 00:55', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-10 00:57', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-11 00:00', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-11 00:31', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-11 00:33', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-11 23:50', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-12 00:02', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-12 00:28', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-12 00:42', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-12 00:51', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-12 00:55', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-12 00:58', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-12 23:48', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-13 00:04', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-13 00:25', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-13 00:39', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-13 00:47', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-13 23:56', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-14 00:32', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-14 00:50', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-14 00:57', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-14 00:58', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-15 00:01', 'guardNumber': 857, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-16 00:00', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-16 00:14', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-16 00:22', 'guardNumber': 3163, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-16 23:56', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-17 00:06', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-17 00:13', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-17 00:21', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-17 00:47', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-18 00:01', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-18 00:10', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-18 00:19', 'guardNumber': 3163, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-18 00:40', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-18 00:41', 'guardNumber': 3163, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-19 00:01', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-19 00:35', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-19 00:50', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-20 00:01', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-20 00:10', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-20 00:40', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-20 23:59', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-21 00:20', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-21 00:37', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-21 23:46', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-22 00:02', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-22 00:33', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-22 00:49', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-22 00:55', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-22 23:56', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-23 00:20', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-23 00:43', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-23 00:51', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-23 00:59', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-24 00:04', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-24 00:27', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-24 00:46', 'guardNumber': 101, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-25 00:02', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-25 00:26', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-25 00:28', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-25 00:33', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-25 00:39', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-26 00:02', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-26 00:37', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-26 00:47', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-26 23:56', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
